city,temp,country,date,latitude,longitude,cloudiness,humidity,wind speed
Comodoro Rivadavia,67.86,AR,1639071151,-45.8667,-67.5,0,42,21.85
Chamba,49.3,IN,1639071151,32.5667,76.1333,0,40,9.4
Adeje,69.51,ES,1639071045,28.1227,-16.726,20,60,1.01
Merauke,76.62,ID,1639071151,-8.4667,140.3333,100,91,3.89
Kerema,76.59,PG,1639071151,-7.9631,145.7785,90,91,5.39
State College,35.89,US,1639071151,40.7934,-77.86,1,71,1.01
Severo-Kuril'sk,32.67,RU,1639071152,50.6789,156.125,31,84,9.91
Ocean Springs,71.58,US,1639071152,30.4113,-88.8278,90,80,9.22
Ati,83.82,TD,1639071152,13.2154,18.3353,1,14,9.84
Forest Grove,42.13,US,1639071152,45.5198,-123.1107,96,87,5.01
Tessalit,75,ML,1639071152,20.1986,1.0114,98,9,9.01
Sinnamary,79.32,GF,1639071153,5.3833,-52.95,92,89,10.6
Grindavik,35.55,IS,1639071153,63.8424,-22.4338,75,93,2.3
Redlands,57.07,US,1639071153,34.0556,-117.1825,90,92,9.22
Lengshuijiang,52.74,CN,1639071153,27.6881,111.4294,8,65,0.78
Gobabis,73.51,NA,1639071153,-22.45,18.9667,85,53,20.13
Perth,70.09,AU,1639071139,-31.9333,115.8333,90,81,12.66
Kourou,87.85,GF,1639071154,5.1552,-52.6478,93,89,8.77
Sidi Ali,53.22,DZ,1639071154,36.0998,0.4206,6,74,20.45
Dingle,75.18,PH,1639071154,10.9995,122.6711,100,88,10.89
Oussouye,93.38,SN,1639071154,12.485,-16.5469,4,37,8.1
Naze,63,JP,1639071154,28.3667,129.4833,94,61,5.08
Port Pirie,57.29,AU,1639071154,-33.1833,138.0167,59,69,8.34
Mehamn,23.18,NO,1639071155,71.0357,27.8492,0,79,18.41
Virginia Beach,45.05,US,1639071155,36.8529,-75.978,75,60,1.01
Coyhaique,81.21,CL,1639071038,-45.5752,-72.0662,0,21,5.75
Basco,74.44,PH,1639071155,20.4487,121.9702,92,66,23.85
Diébougou,87.3,BF,1639071155,10.9667,-3.25,4,11,1.57
Fairbanks,12.16,US,1639071155,64.8378,-147.7164,90,82,0
Nioaque,98.33,BR,1639071156,-21.1353,-55.83,17,18,6.13
Dikson,-22.49,RU,1639071156,73.5069,80.5464,37,100,5.79
Bambous Virieux,79.05,MU,1639071156,-20.3428,57.7575,75,69,4.61
Pskov,-2.29,RU,1639070913,57.8136,28.3496,0,84,6.71
Ampanihy,78.4,MG,1639071156,-24.7,44.75,4,61,5.41
Salina Cruz,89.1,MX,1639071157,16.1667,-95.2,58,52,3.98
Ahipara,61.48,NZ,1639071157,-35.1667,173.1667,100,91,3.89
Rockhampton,76.89,AU,1639071157,-23.3833,150.5,90,83,3.44
Ponta do Sol,68.72,PT,1639071157,32.6667,-17.1,51,70,6.51
Olafsvik,36.43,IS,1639071157,64.8945,-23.7142,99,83,12.59
Saint-Louis,92.84,SN,1639071157,16.3333,-15,94,10,9.53
Syamzha,-1.44,RU,1639071036,60.0158,41.0614,58,99,4.36
Maridi,79.02,SS,1639071158,4.9158,29.4742,17,29,3.49
Kodinsk,5.56,RU,1639071158,58.6881,99.1844,100,93,12.84
North Bend,41.23,US,1639071158,43.4065,-124.2243,90,100,8.05
Broome,32.22,US,1639071158,42.2506,-75.833,90,74,5.01
Haines Junction,-20.25,CA,1639071158,60.7522,-137.5108,88,76,1.14
Nara,49.28,JP,1639071158,34.6851,135.8049,94,76,2.1
Santarém,86.13,BR,1639071158,-2.4431,-54.7083,40,84,9.22
Sohag,61.09,EG,1639071159,26.557,31.6948,10,42,8.14
Broken Hill,58.71,AU,1639071159,-31.95,141.4333,13,55,12.66
San Bartolomé de Tirajana,59.32,ES,1639071159,27.9248,-15.5733,75,53,23.02
Carnot,82.31,CF,1639071159,4.9409,15.8665,60,25,3.6
Sirpur,72.63,IN,1639071159,19.4833,79.6,23,59,5.08
Paoua,79.38,CF,1639071159,7.2427,16.4406,18,22,2.06
Adwa,58.8,ET,1639071159,14.1646,38.8955,0,41,6.42
Makakilo City,73.72,US,1639071159,21.3469,-158.0858,1,77,5.75
Alofi,73.29,NU,1639071159,-19.0595,-169.9187,99,94,3.44
Tura,62.53,IN,1639071159,25.5198,90.2201,38,88,3.42
Kathmandu,53.82,NP,1639070957,27.7167,85.3167,20,71,0
Skjervøy,24.98,NO,1639071160,70.0311,20.9714,31,57,12.1
Estelle,77,US,1639071160,29.8458,-90.1067,75,84,9.22
Constitución,65.53,CL,1639071160,-35.3333,-72.4167,12,71,8.52
Kristiansund,36.25,NO,1639070862,63.1115,7.732,0,51,5.75
Manaure,93.31,CO,1639071160,11.7751,-72.4445,62,53,18.95
Mareeba,72.32,AU,1639071160,-17,145.4333,86,94,1.34
Warri,83.41,NG,1639071161,5.5167,5.75,14,58,6.02
Iqaluit,8.33,CA,1639071161,63.7506,-68.5145,90,66,13.8
The Valley,85.86,AI,1639071161,18.217,-63.0578,75,65,13.8
Grand Gaube,79.2,MU,1639071161,-20.0064,57.6608,17,66,1.99
Rongcheng,49.96,CN,1639071161,30.634,117.8517,0,71,2.75
Kavaratti,81.81,IN,1639071161,10.5669,72.642,26,73,8.88
Husavik,26.51,IS,1639071161,66.0449,-17.3389,100,90,6.69
Bolshoy Lug,6.98,RU,1639071161,52.0779,104.0919,100,98,2.53
Provideniya,-2.92,RU,1639071161,64.3833,-173.3,89,97,16.33
Zeya,7.81,RU,1639071162,53.75,127.2667,100,93,3.53
San Antonio,74.59,US,1639071139,29.4241,-98.4936,90,91,4.61
Nikolskoye,4.89,RU,1639071162,59.7035,30.7861,74,99,3.18
Gambēla,87.22,ET,1639070875,8.25,34.5833,2,25,2.1
Calbuco,69.01,CL,1639071162,-41.768,-73.1273,0,67,12.82
Dunedin,54.81,NZ,1639071162,-45.8742,170.5036,99,66,4
Tūkrah,60.19,LY,1639071162,32.5341,20.5791,56,41,17.69
Jingjiang,49.03,CN,1639071163,32.0142,120.2625,0,73,4.81
Ozernovskiy,34.12,RU,1639071163,51.5,156.5167,98,87,11.14
Kavieng,82.85,PG,1639071163,-2.5744,150.7967,96,79,16.78
